epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.367,1.25654,3.19786,1.42904,0.45329,0.14996,0.17905,0.14924,1.1247,2.90372,1.39351,2.727e-05,2.727e-05,2.727e-05
2,245.607,1.16211,2.2854,1.38596,0.54275,0.47493,0.54534,0.42995,1.13474,4.46599,1.35315,6.30001e-05,6.30001e-05,6.30001e-05
3,334.935,1.09036,1.61659,1.34976,0.54578,0.63007,0.61252,0.46365,1.16742,3.26644,1.37416,9.80102e-05,9.80102e-05,9.80102e-05
4,422.628,1.07125,1.37979,1.32413,0.66352,0.73959,0.68389,0.51435,1.15162,2.31564,1.44104,0.0001323,0.0001323,0.0001323
5,508.538,1.09948,1.26241,1.33525,0.70169,0.61971,0.72193,0.52828,1.07242,2.31553,1.34607,0.000165871,0.000165871,0.000165871
6,596.113,1.14674,1.27904,1.33095,0.71901,0.7358,0.7456,0.58149,1.07718,2.27477,1.28399,0.000198721,0.000198721,0.000198721
7,683.212,1.05906,1.15247,1.24479,0.74245,0.78514,0.79103,0.58591,1.17919,1.80351,1.37791,0.000230851,0.000230851,0.000230851
8,768.617,0.96362,1.13639,1.19982,0.90604,0.85769,0.88177,0.63987,1.23372,1.75662,1.46992,0.000262262,0.000262262,0.000262262
9,853.955,0.98712,1.07439,1.23634,0.82705,0.84159,0.89971,0.62438,1.28443,2.00457,1.63648,0.000292953,0.000292953,0.000292953
10,939.722,1.02252,1.00845,1.20966,0.80905,0.84541,0.89967,0.63925,1.18392,1.55992,1.51823,0.000322923,0.000322923,0.000322923
11,1024.84,1.06212,1.00103,1.32971,0.78498,0.92721,0.90328,0.66836,1.10975,1.31954,1.41829,0.000352174,0.000352174,0.000352174
12,1109.06,1.02442,0.90704,1.18743,0.81828,0.79916,0.84943,0.59253,1.23937,1.40836,1.44886,0.000380705,0.000380705,0.000380705
13,1194.8,0.99902,0.90423,1.21038,0.78232,0.80935,0.82887,0.61302,1.20957,1.22856,1.46059,0.000408516,0.000408516,0.000408516
14,1280.2,0.99472,1.02085,1.23882,0.81334,0.7605,0.82333,0.61291,1.21402,1.3485,1.4633,0.000435606,0.000435606,0.000435606
15,1365.23,0.98691,0.971,1.25016,0.77013,0.78199,0.84959,0.60451,1.24647,1.45301,1.51253,0.000461977,0.000461977,0.000461977
16,1453.96,0.94994,0.93764,1.18156,0.77013,0.78199,0.84959,0.60451,1.24647,1.45301,1.51253,0.000487629,0.000487629,0.000487629
17,1520.95,1.02564,0.89266,1.24294,0.64532,0.8195,0.76896,0.54782,1.32797,1.41867,1.77499,0.00051256,0.00051256,0.00051256
18,1587.28,1.00807,0.82422,1.23878,0.77427,0.72895,0.82001,0.62983,1.08559,1.25875,1.42503,0.000536771,0.000536771,0.000536771
19,1653.67,0.99316,0.83011,1.22098,0.77427,0.72895,0.82001,0.62983,1.08559,1.25875,1.42503,0.000560262,0.000560262,0.000560262
20,1720.25,0.92088,0.77069,1.16064,0.78735,0.77358,0.83537,0.62736,1.0909,1.20344,1.36625,0.000583034,0.000583034,0.000583034
21,1786.81,0.9718,0.79713,1.20501,0.88115,0.6956,0.80044,0.59573,1.13925,1.60618,1.43626,0.000605085,0.000605085,0.000605085
22,1852.76,1.0046,0.91455,1.26144,0.88115,0.6956,0.80044,0.59573,1.13925,1.60618,1.43626,0.000626416,0.000626416,0.000626416
23,1919.62,1.01629,0.98878,1.27787,0.76575,0.69926,0.75179,0.55288,1.1996,1.33613,1.50057,0.000647028,0.000647028,0.000647028
24,1985.74,0.93472,0.74075,1.15244,0.76575,0.69926,0.75179,0.55288,1.1996,1.33613,1.50057,0.00066692,0.00066692,0.00066692
25,2052.12,0.93231,0.74559,1.16937,0.82157,0.73024,0.78354,0.60285,1.12812,1.15717,1.48523,0.000686091,0.000686091,0.000686091
26,2118.62,0.9215,0.79838,1.18783,0.82157,0.73024,0.78354,0.60285,1.12812,1.15717,1.48523,0.000684022,0.000684022,0.000684022
27,2185.36,0.94151,0.71956,1.16378,0.79952,0.85647,0.84316,0.63708,1.14959,1.12636,1.54426,0.000675023,0.000675023,0.000675023
28,2252.15,0.87795,0.68833,1.12111,0.79952,0.85647,0.84316,0.63708,1.14959,1.12636,1.54426,0.000666024,0.000666024,0.000666024
29,2319.24,0.91296,0.69415,1.13142,0.7925,0.92721,0.87539,0.6425,1.20825,0.97261,1.64058,0.000657025,0.000657025,0.000657025
30,2386.62,0.97496,0.74638,1.24641,0.7925,0.92721,0.87539,0.6425,1.20825,0.97261,1.64058,0.000648026,0.000648026,0.000648026
31,2453.14,0.91971,0.73861,1.16314,0.89001,0.82537,0.88208,0.65505,1.18744,1.01483,1.57608,0.000639027,0.000639027,0.000639027
32,2519.46,0.92362,0.71921,1.1978,0.89001,0.82537,0.88208,0.65505,1.18744,1.01483,1.57608,0.000630028,0.000630028,0.000630028
33,2586.07,0.95331,0.66877,1.15591,0.7798,0.8369,0.82668,0.62722,1.13401,1.16125,1.62694,0.000621029,0.000621029,0.000621029
34,2652.46,0.88285,0.69139,1.16909,0.7798,0.8369,0.82668,0.62722,1.13401,1.16125,1.62694,0.00061203,0.00061203,0.00061203
35,2719.02,0.91421,0.72092,1.19786,0.80513,0.82126,0.81576,0.60942,1.1266,1.18532,1.58874,0.000603031,0.000603031,0.000603031
36,2785.43,0.93826,0.74634,1.1745,0.80513,0.82126,0.81576,0.60942,1.1266,1.18532,1.58874,0.000594031,0.000594031,0.000594031
37,2852.01,0.92845,0.71909,1.17961,0.79528,0.87432,0.86962,0.64413,1.13588,1.04727,1.57027,0.000585032,0.000585032,0.000585032
38,2918.59,0.90906,0.70172,1.15083,0.79528,0.87432,0.86962,0.64413,1.13588,1.04727,1.57027,0.000576033,0.000576033,0.000576033
39,2985.21,0.86505,0.6502,1.13216,0.74326,0.9041,0.86089,0.6508,1.13538,1.1419,1.54536,0.000567034,0.000567034,0.000567034
40,3051.61,0.86792,0.66513,1.14134,0.74326,0.9041,0.86089,0.6508,1.13538,1.1419,1.54536,0.000558035,0.000558035,0.000558035
41,3118.79,0.84088,0.69831,1.13885,0.76037,0.83063,0.88969,0.69618,1.06688,0.97752,1.4931,0.000549036,0.000549036,0.000549036
42,3185.34,0.8427,0.64356,1.09865,0.76037,0.83063,0.88969,0.69618,1.06688,0.97752,1.4931,0.000540037,0.000540037,0.000540037
43,3252,0.85479,0.61306,1.15009,0.87235,0.89813,0.91344,0.71667,1.03515,0.85582,1.44272,0.000531038,0.000531038,0.000531038
44,3318.66,0.8572,0.63351,1.13328,0.87235,0.89813,0.91344,0.71667,1.03515,0.85582,1.44272,0.000522039,0.000522039,0.000522039
45,3385.45,0.86668,0.64726,1.16259,0.86238,0.91236,0.92468,0.71172,1.04667,0.86178,1.46686,0.00051304,0.00051304,0.00051304
46,3451.6,0.82556,0.62715,1.11446,0.86238,0.91236,0.92468,0.71172,1.04667,0.86178,1.46686,0.00050404,0.00050404,0.00050404
47,3518.02,0.89423,0.69017,1.17096,0.87217,0.86258,0.85819,0.65728,1.07239,0.83978,1.50839,0.000495041,0.000495041,0.000495041
48,3584.52,0.79061,0.54841,1.10731,0.87217,0.86258,0.85819,0.65728,1.07239,0.83978,1.50839,0.000486042,0.000486042,0.000486042
49,3651.04,0.91328,0.74164,1.25584,0.87735,0.87732,0.86344,0.66316,1.02939,0.84095,1.4554,0.000477043,0.000477043,0.000477043
50,3717.35,0.78021,0.54884,1.1166,0.87735,0.87732,0.86344,0.66316,1.02939,0.84095,1.4554,0.000468044,0.000468044,0.000468044
51,3784.13,0.8101,0.5638,1.1108,0.89006,0.83646,0.87276,0.67622,1.01761,0.81828,1.38268,0.000459045,0.000459045,0.000459045
52,3850.52,0.83764,0.58632,1.11551,0.89006,0.83646,0.87276,0.67622,1.01761,0.81828,1.38268,0.000450046,0.000450046,0.000450046
53,3917,0.85121,0.66027,1.14704,0.7881,0.90361,0.89903,0.68864,1.05586,0.85161,1.3638,0.000441047,0.000441047,0.000441047
54,3983.66,0.81473,0.56832,1.09786,0.7881,0.90361,0.89903,0.68864,1.05586,0.85161,1.3638,0.000432048,0.000432048,0.000432048
