epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4050.35,0.90364,0.59097,1.19909,0.8549,0.88112,0.9097,0.6972,1.06425,0.82646,1.39904,0.000423049,0.000423049,0.000423049
56,4116.92,0.77298,0.54044,1.04902,0.8549,0.88112,0.9097,0.6972,1.06425,0.82646,1.39904,0.000414049,0.000414049,0.000414049
57,6148.88,0.8933,0.63259,1.18316,0.86131,0.90678,0.92623,0.7078,1.02638,0.78611,1.37225,0.00040505,0.00040505,0.00040505
58,6220.32,0.75311,0.53115,1.07851,0.86131,0.90678,0.92623,0.7078,1.02638,0.78611,1.37225,0.000396051,0.000396051,0.000396051
59,6287.27,0.75972,0.52192,1.0795,0.90396,0.84388,0.91181,0.70367,1.06297,0.8109,1.35703,0.000387052,0.000387052,0.000387052
60,6353.8,0.79675,0.51919,1.08993,0.90396,0.84388,0.91181,0.70367,1.06297,0.8109,1.35703,0.000378053,0.000378053,0.000378053
61,6420.24,0.79587,0.56022,1.11067,0.90366,0.8915,0.91163,0.7005,1.05132,0.83147,1.32949,0.000369054,0.000369054,0.000369054
62,6487.85,0.78034,0.56504,1.11137,0.90366,0.8915,0.91163,0.7005,1.05132,0.83147,1.32949,0.000360055,0.000360055,0.000360055
63,6554.4,0.75066,0.53653,1.09447,0.89865,0.88829,0.92586,0.70967,1.06485,0.80634,1.32957,0.000351056,0.000351056,0.000351056
64,6621.24,0.8093,0.60845,1.17545,0.89865,0.88829,0.92586,0.70967,1.06485,0.80634,1.32957,0.000342057,0.000342057,0.000342057
65,6692.69,0.79576,0.5488,1.06056,0.88918,0.89629,0.93305,0.72263,1.04406,0.72575,1.34046,0.000333058,0.000333058,0.000333058
66,6762.34,0.75534,0.56065,1.11739,0.88918,0.89629,0.93305,0.72263,1.04406,0.72575,1.34046,0.000324058,0.000324058,0.000324058
67,6829.66,0.75524,0.5057,1.07893,0.8837,0.92398,0.94016,0.73205,1.04552,0.71416,1.35452,0.000315059,0.000315059,0.000315059
68,6896.4,0.71233,0.53389,1.07913,0.8837,0.92398,0.94016,0.73205,1.04552,0.71416,1.35452,0.00030606,0.00030606,0.00030606
69,6963.26,0.79472,0.52489,1.10841,0.89021,0.92321,0.93715,0.70816,1.04759,0.72762,1.37254,0.000297061,0.000297061,0.000297061
70,7029.89,0.6811,0.51648,1.02362,0.89021,0.92321,0.93715,0.70816,1.04759,0.72762,1.37254,0.000288062,0.000288062,0.000288062
71,7096.78,0.69942,0.48282,1.06658,0.90636,0.90689,0.94349,0.7207,1.03207,0.70742,1.36425,0.000279063,0.000279063,0.000279063
72,7163.18,0.65694,0.44291,1.01558,0.90636,0.90689,0.94349,0.7207,1.03207,0.70742,1.36425,0.000270064,0.000270064,0.000270064
73,7229.94,0.70225,0.51565,1.05289,0.88761,0.91887,0.94892,0.74294,1.03304,0.72587,1.37702,0.000261065,0.000261065,0.000261065
74,7296.6,0.7612,0.48365,1.08566,0.88761,0.91887,0.94892,0.74294,1.03304,0.72587,1.37702,0.000252066,0.000252066,0.000252066
75,7363.42,0.68891,0.44424,1.01865,0.87221,0.91185,0.93623,0.74094,1.03321,0.72616,1.37544,0.000243067,0.000243067,0.000243067
76,7429.81,0.72312,0.51359,1.08647,0.87221,0.91185,0.93623,0.74094,1.03321,0.72616,1.37544,0.000234068,0.000234068,0.000234068
77,7496.53,0.68858,0.48569,1.04912,0.85862,0.91962,0.92759,0.73044,1.02134,0.73773,1.36038,0.000225068,0.000225068,0.000225068
78,7563.12,0.71653,0.52721,1.04901,0.85862,0.91962,0.92759,0.73044,1.02134,0.73773,1.36038,0.000216069,0.000216069,0.000216069
79,7630.39,0.69919,0.46996,1.00451,0.87069,0.90863,0.92136,0.73251,1.02651,0.71003,1.36262,0.00020707,0.00020707,0.00020707
80,7696.85,0.6724,0.4765,1.01976,0.87069,0.90863,0.92136,0.73251,1.02651,0.71003,1.36262,0.000198071,0.000198071,0.000198071
81,7763.55,0.71016,0.46674,1.07708,0.87418,0.92126,0.91112,0.73033,1.0276,0.70339,1.37245,0.000189072,0.000189072,0.000189072
82,7830.49,0.66117,0.45028,1.03125,0.87418,0.92126,0.91112,0.73033,1.0276,0.70339,1.37245,0.000180073,0.000180073,0.000180073
83,7896.96,0.66925,0.46915,1.04354,0.8851,0.90534,0.9039,0.72483,1.01796,0.70003,1.36887,0.000171074,0.000171074,0.000171074
84,7963.35,0.6695,0.47933,1.03129,0.8851,0.90534,0.9039,0.72483,1.01796,0.70003,1.36887,0.000162075,0.000162075,0.000162075
85,8029.83,0.62972,0.4386,1.00555,0.88405,0.90782,0.91771,0.73955,1.00112,0.69501,1.3487,0.000153076,0.000153076,0.000153076
86,8096.32,0.6057,0.42986,0.99831,0.88405,0.90782,0.91771,0.73955,1.00112,0.69501,1.3487,0.000144077,0.000144077,0.000144077
87,8162.85,0.66965,0.46503,1.05683,0.88131,0.90885,0.91719,0.7361,0.9839,0.70115,1.34066,0.000135077,0.000135077,0.000135077
88,8229.17,0.61181,0.43069,0.99413,0.88131,0.90885,0.91719,0.7361,0.9839,0.70115,1.34066,0.000126078,0.000126078,0.000126078
89,8295.92,0.63994,0.4541,1.02675,0.88694,0.91368,0.92581,0.73217,0.98797,0.68701,1.33963,0.000117079,0.000117079,0.000117079
90,8362.37,0.64716,0.41433,1.00624,0.88694,0.91368,0.92581,0.73217,0.98797,0.68701,1.33963,0.00010808,0.00010808,0.00010808
91,8429.11,0.652,0.46314,1.04482,0.89133,0.91289,0.9259,0.72178,0.98584,0.68541,1.34159,9.9081e-05,9.9081e-05,9.9081e-05
92,8495.12,0.64477,0.43732,1.0218,0.89133,0.91289,0.9259,0.72178,0.98584,0.68541,1.34159,9.00819e-05,9.00819e-05,9.00819e-05
93,8561.66,0.56801,0.41654,1.00195,0.89366,0.91459,0.92932,0.73769,0.98982,0.69355,1.35091,8.10828e-05,8.10828e-05,8.10828e-05
94,8627.78,0.61523,0.39586,1.07242,0.89366,0.91459,0.92932,0.73769,0.98982,0.69355,1.35091,7.20837e-05,7.20837e-05,7.20837e-05
95,8694.25,0.62852,0.50049,1.09279,0.88944,0.91596,0.92438,0.73006,0.9933,0.68924,1.35942,6.30846e-05,6.30846e-05,6.30846e-05
96,8760.7,0.67943,0.47295,1.10828,0.88944,0.91596,0.92438,0.73006,0.9933,0.68924,1.35942,5.40855e-05,5.40855e-05,5.40855e-05
97,8827.13,0.64777,0.47659,1.08403,0.88769,0.91566,0.92324,0.72646,1.00232,0.68535,1.36871,4.50864e-05,4.50864e-05,4.50864e-05
98,8893.43,0.55837,0.38782,1.00284,0.88769,0.91566,0.92324,0.72646,1.00232,0.68535,1.36871,3.60873e-05,3.60873e-05,3.60873e-05
99,8961.29,0.63343,0.43184,1.05597,0.88768,0.91657,0.91889,0.72741,1.00515,0.68496,1.36906,2.70882e-05,2.70882e-05,2.70882e-05
100,9029.45,0.6393,0.43154,1.09441,0.88768,0.91657,0.91889,0.72741,1.00515,0.68496,1.36906,1.80891e-05,1.80891e-05,1.80891e-05
